Name,URL
"Income (by County) 2018","https://services1.arcgis.com/Ug5xGQbHsD8zuZzM/ArcGIS/rest/services/ACS_2018_Economic/FeatureServer/126/query?where=1%3D1&outFields=*&returnGeometry=false&outSR=4326&f=json"
"Income (by City) 2018","https://services1.arcgis.com/Ug5xGQbHsD8zuZzM/ArcGIS/rest/services/ACS_2018_Economic/FeatureServer/128/query?where=1%3D1&outFields=*&returnGeometry=false&outSR=4326&f=json"
"Migration (by County) 2018","https://services1.arcgis.com/Ug5xGQbHsD8zuZzM/ArcGIS/rest/services/ACS_2018_Social/FeatureServer/214/query?where=1%3D1&outFields=*&returnGeometry=false&outSR=4326&f=json"
"Migration (by City) 2018","https://services1.arcgis.com/Ug5xGQbHsD8zuZzM/ArcGIS/rest/services/ACS_2018_Social/FeatureServer/212/query?where=1%3D1&outFields=*&returnGeometry=false&outSR=4326&f=json"
